id,customer_id,dt,amount,currency,status
39329,247,2025-03-26,163.99,AZN,completed
41803,685,2025-03-24,410.52,EUR,completed
7150,385,2025-03-02,387.52,AZN,completed
20125,726,2025-02-15,221.73,EUR,pending
40951,219,2025-02-05,581.89,AZN,completed
50599,418,2025-01-24,-130.86,AZN,pending
12880,367,2025-02-14,14.17,AZN,completed
660,659,2025-01-16,177.07,AZN,completed
20765,592,2025-03-28,136.41,AZN,completed
26776,827,2025-02-18,260.71,AZN,pending
24265,46,2025-02-08,121.17,USD,completed
2821,369,2025-02-26,220.34,USD,completed
10748,587,2025-01-08,119.51,AZN,completed
6041,606,2025-02-05,200.21,USD,completed
22588,930,2025-01-12,432.94,AZN,completed
10556,440,2025-01-16,319.45,EUR,completed
13088,559,2025-01-14,349.0,USD,pending
45617,8,2025-02-18,296.1,AZN,completed
22151,156,2025-02-18,245.29,AZN,completed
25107,384,2025-01-14,304.99,AZN,completed
43583,452,2025-02-27,79.12,AZN,completed
4307,638,2025-01-20,267.61,AZN,completed
23404,129,2025-01-06,509.29,USD,pending
20631,17,2025-03-27,550.93,USD,completed
16214,145,2025-02-13,68.49,AZN,completed
27887,494,2025-03-29,407.9,USD,completed
3347,513,2025-03-01,334.88,EUR,completed
42740,704,2025-03-21,87.62,USD,completed
37453,301,2025-02-12,313.66,AZN,pending
5826,681,2025-03-22,672.03,AZN,failed
10142,19,2025-03-02,33.53,USD,completed
14476,876,2025-01-18,250.29,AZN,completed
14636,609,2025-03-06,104.69,AZN,pending
35056,428,2025-02-27,373.15,EUR,completed
20479,237,2025-02-26,226.5,EUR,completed
43753,471,2025-02-21,121.16,AZN,completed
38301,391,2025-03-28,374.23,AZN,completed
15950,331,2025-02-20,134.3,AZN,completed
1415,898,2025-03-26,154.15,USD,completed
7218,407,2025-02-16,213.23,AZN,completed
19313,944,2025-03-03,30.14,AZN,completed
49300,707,2025-01-19,173.76,AZN,completed
11557,639,2025-03-29,255.52,AZN,completed
33406,125,2025-02-20,153.3,USD,completed
43907,737,2025-03-10,178.3,AZN,completed
8075,188,2025-01-30,338.06,AZN,completed
37316,79,2025-02-11,190.96,AZN,completed
32142,570,2025-01-22,131.27,EUR,completed
31483,571,2025-03-08,73.74,AZN,completed
49561,987,2025-02-02,487.38,AZN,completed
22373,85,2025-03-22,315.38,AZN,completed
13227,476,2025-01-14,235.68,AZN,failed
2280,515,2025-02-13,185.68,AZN,completed
22777,557,2025-03-21,436.69,AZN,completed
48119,393,2025-02-06,162.65,USD,completed
33056,27,2025-01-27,301.42,AZN,completed
50459,548,2025-02-06,-114.5,AZN,completed
14902,719,2025-01-12,249.45,EUR,completed
11280,11,2025-01-08,801.87,AZN,completed
36199,406,2025-03-03,338.73,EUR,completed
41021,739,2025-03-01,183.96,EUR,pending
17331,265,2025-03-07,270.13,AZN,completed
24824,211,2025-01-15,190.83,AZN,completed
45953,977,2025-03-16,279.5,AZN,completed
41445,245,2025-03-10,135.22,EUR,completed
17982,332,2025-02-15,259.16,USD,completed
